*** O
subrogada O
no O
s'acabaria B
creant I
un I
un I
mercat I
low I
cost I
de I
dones I
en I
el I
qual I
gracies I
a I
la I
seva I
explotacio I
es I
trauria I
un I
baix I
cost I
de I
la I
gestacio I
subrogada E
i O
sobretot O
el B
que I
es I
mes I
greu I
gracies I
a I
la I
seua I
salut E
perque O
adivineu O
en B
aquests I
paisos I
la I
sanitat I
ni I
es I
publica I
i I
es I
privada E
si O
si O
es O
que O
el B
seu I
company I
a I
la I
introduccio I
ha I
dit I
que I
la I
meva I
companya I
es I
com I
una I
prostituta I
i I
una I
esclava I
s'ha I
de I
sentir I
aixi I
pot I
contestar I
la I
meva I
pregunta I
sisplau E
jo B
no I
entes I
aixo E
be O
em O
per O
un O
moment O
vosaltres O
podreu O
dir O
que O
aixo O
m'ho O
invente O
jo O
que O
son O
elucubracions O
meues O
pero O
per O
un O
minut O
per O
un O
segons O
tanqueu O
els O
vostres O
ulls O
i O
situeu O
vos O
en O
un O
moment O
en O
l'india O
on O
la O
gestacio O
subrogada O
es O
legal O
del O
dos O
des O
del O
dos O
mil O
dos O
ara O
obriu O
els O
ulls O
aquesta O
dona O
d'aqui O
que O
veieu O
la O
imatge O
s'amaga O
sota O
pseudonim O
de O
raxil*la B
raxil*la I
es I
una I
dona I
que I
viu I
en I
una I
granja I
de I
dones E
si O
heu O
escoltat O
be O
granja O
de O
dones O
no O
ho O
ha O
dit O
malament O
i O
aixi B
s'acota I
el I
terme I
per I
les I
condicions I
en I
les I
es I
veuen I
vistes I
aquestes I
dones E
raxil*la B
estara I
nou I
mesos I
reclosa I
i I
estaran I
nou I
mesos I
reclosa I
sota I
el I
argument I
de I
la I
doctora I
peter I
que I
li I
diu I
que I
la I
millor I
manera I
per I
a I
garantir I
un I
bon I
embaras I
es I
que I
estigue I
nou I
mesos I
reclosa I
en I
el I
centre E
despres B
de I
nou I
mesos I
la I
doctora I
peter I
rebra I
vint I
mil I
euros E
i O
d'aquests B
vint I
mil I
euros I
raxil*la I
sols I
en I
rebra I
cinc I
mil E
cinc B
mil I
euros I
per I
haver I
estat I
nou I
mesos I
reclosa E
cinc B
mil I
euros I
per I
haver-se I
jugat I
la I
seua I
salut E
perque O
ja O
sabem O
en B
aquests I
paisos I
les I
condicions I
de I
la I
salut I
sabem I
com I
estan E
si O
nosaltres B
els I
demanariem I
que I
s'atreveixin I
a I
refutar I
el I
nostre I
model I
de I
gestacio I
subrogada I
i I
no I
el I
de I
l'estranger E
nosaltres O
es O
que O
estem B
refutant I
aquest I
model I
justament I
perque I
solament I
l'india I
ja I
viu I
en I
un I
cinquanta I
per I
cent I
mes I
de I
dones I
que I
en I
tot I
l'occident E
si B
mirem I
a I
nivell I
global I
ja I
es I
una I
cosa I
molt I
mes I
exagerada E
perque O
no O
occident B
viuen I
sis-cents I
milions I
de I
dones I
si E
pero B
en I
el I
mon I
en I
veu I
en I
viuen I
tres I
mil E
vosaltres O
creuen B
que I
el I
vostre I
model I
se I
va I
poder I
aplicar I
en I
aquests I
paisos E
vosaltres O
creieu O
que O
podreu O
tindre B
un I
control I
d'una I
gestacio I
altruista I
en I
un I
lloc I
on I
ni I
tan I
sols I
han I
pogut I
erradicar I
malalties I
com I
la I
pesta E
que O
fa B
mes I
de I
vint I
anys I
que I
se I
sap I
la I
seua I
cura E
com O
podrem O
tindre O
un O
control O
de O
d'aquests O
casos O
i O
be O
nosaltres O
el O
que O
hem O
vingut O
aqui O
a O
proposar O
es O
una O
cosa O
mes O
senzilla O
que O
es O
simplement O
l'adopcio B
que I
si I
que I
s'hauria I
de I
poder I
legislar I
d'una I
altra I
forma E
perque B
aquesta I
fora I
mes I
rapida E
fora B
una I
miqueta I
millor E
pero O
be O
per O
que O
nosaltres B
proposem I
l'educacio E
primer O
de O
tot O
es B
la I
nostra I
eleccio I
per I
un I
motiu I
tenir I
fills E
no O
es O
un O
dret O
i O
per O
tant O
ens O
neguem O
a O
que O
se O
puga O
utilitzar O
una O
dona O
com O
si O
fos O
un O
instrument O
perque O
una O
parella O
puga O
complir O
al O
cap O
i O
a O
la O
fi O
el O
seu O
desig O
de O
tenir O
un O
fill O
si O
company O
parlant B
d'espanya I
jo I
me I
pregunto I
quina I
ni I
quina I
llicencia I
tenim I
d'anar I
en I
contra I
de I
tenir I
un I
fill I
amb I
les I
nostres I
propostes I
garants I
i I
protectores E
en O
que B
s'esta I
parlant I
d'espanya I
ho I
dieu I
vosaltres E
pero O
el O
tema O
es O
ben B
clar I
s'ha I
de I
legalitzar I
la I
gestacio I
subrogada I
en I
cap I
moment I
parla I
a I
nivell I
espanyol E
pero O
be O
el O
segon O
motiu O
pel O
qual O
nosaltres O
hem O
ens B
neguem I
a I
acceptar I
la I
gestacio I
subrogada I
i I
nosaltres I
proposem I
l'adopcio E
es O
perque O
en O
un O
mon O
que O
esta O
superpoblat O
en O
un O
mon O
on O
n'hi O
ha O
gent O
que O
necessita O
ser O
adoptada O
es O
neguem O
que O
simplement O
pel O
fet O
del O
narcisisme O
d'una O
persona O
de O
voler O
tenir O
fills O
que O
siguin O
geneticament O
identicament O
a O
ells O
es O
rebutja O
l'adopcio O
si B
realment I
una I
dona I
volgues I
fer I
un I
acte I
altruista I
en I
aquest I
sentit I
que I
faria I
tindre I
un I
fill I
sense I
necessitat I
de I
la I
gestacio I
subrogada E
i O
directament O
el B
donarien I
en I
adopcio E
per O
tant O
i O
en O
aixo O
m'agradaria O
concloure O
el O
meu O
torn O
que O
en O
aquest O
torn O
ha O
quedat O
clar O
la B
que I
la I
legalitzacio I
de I
la I
gestacio I
subrogada I
a I
nivell I
mundial I
portaria I
a I
la I
major I
part I
de I
les I
dones I
de I
mon I
a I
ser I
susceptibles I
a I
tindre I
una I
gestacio I
on I
l'explotacio I
d'aquestes I
dones I
seria I
el I
maxim I
exponent E
i O
per O
aixo O
l'unica B
opcio I
moral I
avui I
en I
dia I
es I
adoptar E
moltes O
gracies O
*** O
arg2 O
favour O
molt O
bona O
tarda O
estimat O
company O
estimat O
equip O
voldria O
comencar O
primer O
donant-vos O
resposta O
a O
alguna O
de O
les O
vostres O
preguntes O
vosaltres O
tambe O
o O
parlat O
que O
estem B
parlant I
a I
nivell I
internacional E
pero B
realment I
on I
tenim I
competencia I
per I
legislar I
tenim I
competencia I
per I
legislar I
el I
nostre I
estat E
que B
podem I
fer I
per I
evitar I
que I
acabin I
succeint I
totes I
aquestes I
aberracions I
de I
granges I
i I
tots I
els I
suposits I
que I
vosaltres I
heu I
exposat E
com O
i O
on O
es O
que O
es O
aqui O
i O
com O
mitjancant B
un I
model E
tambe O
vostes O
han O
parlat O
que O
la B
major I
part I
de I
dones I
gestants I
son I
de I
paisos I
pobres E
pero B
han I
dit I
que I
no I
parlem I
d'occident E
per O
tant O
admitiu O
que O
a B
occident I
podia I
regular-se I
d'una I
forma I
mes I
garant I
mes I
efectiva E
jo O
diria O
que O
evidentment O
esta B
clar I
que I
si E
per O
aixo O
estem B
avui I
aqui I
estem I
avui I
aqui I
per I
explicar-nos I
el I
nostre I
model I
que I
es I
garant I
i I
que I
te I
uns I
requisits I
tambe I
d'idoneitat E
tambe O
m'agradaria O
dir-vos O
que O
heu O
dit O
que O
heu O
proposat O
una O
pregunta O
que O
diu O
realment O
podeu B
aconseguir I
una I
gestacio I
subrogada I
altruista I
si I
si I
i I
com I
podem I
aconseguir I
aquesta I
gestacio I
subrogada I
altruista I
pues I
mitjancant I
una I
relacio I
epistolar E
que O
es O
una B
relacio I
epistolar I
es I
una I
relacio I
anonima I
que I
no I
es I
coneguin I
la I
familia I
comitent I
i I
la I
dona I
gestant I
per I
que I
per I
evitar I
que I
hi I
hagin I
diners I
negres I
per I
mig I
per I
evitar I
que I
hi I
hagi I
consentiments I
viciat I
sentiments I
viciats I
entre I
persones I
que I
si I
tenen I
un I
apreci E
llavors O
d'aquesta B
manera I
nosaltres I
podriem I
garantir I
un I
altruisme E
una O
persona O
que O
se O
preste O
voluntariament O
a B
tindre I
aquest I
fill I
per I
la I
familia I
comite I
si I
digui'm I
a I
voste I
l'india I
no I
li I
interessa I
a I
voste I
paisos I
com I
l'india I
en I
vies I
de I
desenvolupament I
no I
centren I
la I
seva I
atencio E
si B
claro I
si I
que I
m'interessen E
per O
aixo O
jo O
penso O
que O
el B
fet I
de I
legalitzar I
aqui I
a I
espanya I
faria I
que I
almenys I
les I
families I
espanyoles I
no I
se'n I
vagin I
fora I
d'espanya I
a I
paisos I
com I
per I
exemple I
l'india I
a I
tindre I
fills I
amb I
dones I
que I
tenen I
unes I
condicions I
pessimes I
que I
estan I
en I
granges I
que I
estan I
vulnerant I
tots I
els I
seus I
drets E
si B
tots I
els I
paisos I
ho I
regulessin I
d'una I
manera I
efectiva I
i I
garant I
no I
caldria I
que I
tothom I
se I
n'anes I
fora I
els I
paisos E
ja B
tindrien I
el I
seu I
propi I
pais E
i O
d'una B
manera I
assegurada I
i I
garant E
tambe O
m'agradaria O
dir-vos O
que O
a O
la O
vostra O
introduccio O
parlat O
d'opresors O
i O
oprimits O
i O
a O
mi O
m'agradaria O
dir-vos O
una O
frase O
de O
martin B
luther I
king I
que I
diu I
els I
drets I
son I
sempre I
reclamats I
pels I
oprimits I
i I
posats I
en I
dubte I
pels I
opressors E
nosaltres B
reclamem I
el I
dret I
a I
poder I
decidir I
d'una I
forma I
segura I
i I
garant E
ho O
sol*licitem O
de O
veritat O
vosaltres O
ens O
ho O
donareu O
digui O
llavors B
es I
que I
el I
percentatge I
de I
gestacio I
subrogada I
al I
turista I
suposa I
un I
percentatge I
tan I
baix E
suposa B
un I
percentatge I
baix I
perque I
hi I
ha I
d'altres I
paisos I
que I
ho I
permeten E
evidentment O
nosaltres O
no B
podem I
fer I
que I
aquests I
paisos I
ho I
regulin E
pero B
que I
hi I
hagi I
un I
percentatge I
baix E
i O
es B
un I
percentatge I
de I
mes I
que I
no I
son I
families I
que I
marxen I
a I
fora E
si O
ja O
son B
unes I
persones I
que I
ja I
no I
hi I
accedeixen I
aquestes I
families I
si I
no I
existissin I
se I
n'hi I
anirien I
a I
fora E
al O
menys O
hi O
ha O
una O
part O
jo O
tinc O
esperanca O
en O
que O
aixo B
pot I
pujar I
i I
mes I
si I
hi I
han I
paisos I
que I
segueixen I
regulant E
m'agradaria O
explicar-vos O
les O
garanties O
que O
nosaltres O
proposem B
en I
proposem I
garanties I
com I
he I
dit I
abans I
de I
la I
relacio I
entre I
dona I
gestant I
i I
familia I
comitent E
i O
tambe O
dins O
d'aquesta O
hi O
preserven B
el I
dret I
a I
l'origen E
el O
dret O
a O
l'origen O
que O
tambe O
ens B
basem I
amb I
la I
regulacio I
de I
l'adopcio E
per O
tant O
nosaltres O
no O
ens B
inventem I
res I
es I
algo I
que I
ja I
tenen I
els I
menors E
s'haurien B
de I
fer I
amb I
els I
mateixos I
requisits E
si O
diguin O
voste B
aquestes I
garanties I
queden I
garantides I
alla I
on I
per I
exemple I
s'apedreen I
persones I
simplement I
per I
ser I
homosexuals I
que I
son I
la I
majoria I
de I
paisos I
o I
alla I
on I
es I
vulneren I
els I
drets I
humans E
es O
que O
voste B
segueix I
parlant-me I
de I
paisos I
on I
no I
tens I
competencia I
per I
regular E
voste O
que O
pot O
fer O
aqui O
aqui O
s'ha O
peguen O
a O
persones O
no O
per O
tant O
nosaltres O
aqui O
hem B
d'intentar I
regular I
per I
evitar I
que I
les I
persones I
i I
vagin I
alli E
parlim O
d'aqui O
parlim O
de O
que O
pot O
fer O
voste O
per O
evitar B
aquesta I
situacio E
jo O
li B
dono I
una I
sortida E
jo O
li B
dono I
una I
solucio E
que O
es O
evitar B
que I
les I
families I
per I
lo I
menys I
espanyoles I
se'n I
vagin I
fora E
llavors O
m'agradaria O
seguir O
dient O
els B
requisits I
d'idoneitat I
que I
presentem I
a I
les I
families I
perque I
no I
qualsevol I
persona I
pot I
ser I
dona I
gestant E
i O
no B
qualsevol I
persona I
pot I
ser I
familia I
comitent E
com B
a I
requisits I
idoneitat I
per I
la I
dona I
gestant I
hem I
establert I
una I
serie I
que I
ens I
dona I
lloc I
a I
que I
sigui I
realment I
altruista E
i O
que B
no I
sigui I
per I
necessitat E
per O
exemple O
han B
de I
tindre I
una I
capacitat I
economica I
minima E
no B
pot I
ser I
que I
una I
dona I
que I
no I
te I
suficiencia I
economica I
pugui I
accedir I
aqui I
per I
que I
perque I
almenys I
durant I
aquestos I
nou I
mesos I
estaria I
coberta I
per I
la I
seguretat I
social I
estaria I
tranquil*la E
doncs O
no B
evidentment I
nosaltres I
no I
donem I
sortida I
a I
aquesta I
problematica I
perque I
aixo I
seria I
mercantilitzacio I
de I
la I
dona E
i O
nosaltres O
no B
volem I
mercantilitzar I
la I
dona E
nosaltres O
volem B
ajudar I
a I
les I
families I
que I
no I
poden I
tindre I
fills E
no B
les I
que I
volen E
sino B
les I
que I
no I
poden E
i O
llavors O
tambe O
parlem O
de O
que O
aquesta B
dona I
ha I
tingut I
d'haver I
set I
mare I
anteriorment E
perque B
aquesta I
dona I
ja I
sapigui I
el I
que I
es I
tindre I
un I
nen I
en I
el I
seu I
ventre E
tambe B
parlem I
de I
requisits I
dels I
progenitors I
comitents E
els B
mateixos I
requisits I
que I
l'adopcio E
les B
mateixes I
que I
estableix I
ja I
l'estat E
i O
llavorens O
el O
que O
hem O
de O
dir O
com O
a O
diferencia O
es O
que O
s'han B
d'haver I
votat I
totes I
les I
tecniques I
de I
reproduccio I
assistida I
abans I
de I
poder I
accedir I
a I
la I
gestacio I
per I
subrogacio E
i O
tindre B
criteris I
de I
valoracio I
com I
les I
circumstancies I
personals I
les I
familiars I
les I
economiques I
i I
actitud I
educadora E
m'agradaria O
acabar O
dient O
que O
el B
teu I
cos I
i I
la I
forma I
en I
que I
el I
comparteixes I
amb I
el I
mon I
ha I
de I
ser I
una I
eleccio I
propia E
esperem O
que O
ho O
entenguin O
i O
que O
ens O
ho O
deixin O
dir O
moltes O
gracies O
*** O
conc O
favour O
s'hauria B
de I
legalitzar I
la I
gestacio I
subrogada I
ja I
els I
hem I
contestat I
a I
la I
pregunta I
i I
hem I
dit I
que I
si I
perque I
hem I
explicat I
els I
motius I
hem I
dit I
el I
perque I
precisament I
el I
perque I
s'ha I
centrat I
al I
llarg I
del I
debat I
amb I
totes I
les I
seves I
preocupacions I
les I
quals I
hem I
contestat I
hem I
oferit I
una I
alternativa I
i I
precisament I
aquest I
com I
aquest I
model I
inspirat I
en I
uns I
principis I
que I
segurament I
i I
estic I
convencut I
que I
comparteixen I
perque I
les I
preocupacions I
vostres I
ho I
han I
demostrat I
al I
llarg I
del I
debat I
que I
son I
les I
mateixes I
que I
les I
nostres I
fan I
aquests I
principis I
que I
s'aixequin I
els I
tres I
arguments I
que I
hem I
defensat I
al I
llarg I
del I
debat I
la I
naturalesa I
altruista I
les I
garanties I
de I
proteccio I
i I
els I
requisits I
d'idoneitat I
totes I
les I
males I
practiques I
que I
vostes I
han I
exposat I
al I
llarg I
del I
debat I
i I
que I
nosaltres I
tambe I
ens I
hi I
hem I
sumat I
i I
hem I
criticat I
perque I
nosaltres I
no I
defensem I
totes I
aquestes I
males I
practiques I
que I
es I
fan I
a I
l'estranger I
perque I
nosaltres I
precisament I
defensem I
aquests I
motius I
per I
lluitar I
i I
per I
legalitzar I
aqui I
perque I
aixo I
provoca I
una I
inseguretat I
juridica I
perque I
si I
va I
una I
familia I
a I
estats I
units I
i I
te I
un I
fill I
per I
gestacio I
subrogada I
nosaltres I
no I
ho I
podem I
evitar I
perque I
aixo I
es I
competencia I
estats I
units I
i I
aixo I
es I
el I
que I
ens I
hem I
remes I
durant I
tot I
el I
debat I
i I
nosaltres I
ho I
hem I
defensat I
durant I
tot I
el I
debat I
que I
la I
naturalesa I
altruista I
no I
remuneraria I
en I
cap I
cas I
cap I
ventre I
cap I
ventre I
te I
un I
preu I
nomes I
hem I
dit I
que I
hi I
haurien I
unes I
compensacions I
de I
rescabalament I
per I
precisament I
protegir I
a I
la I
dona I
protegir I
a I
la I
dona I
i I
aixo I
es I
el I
que I
hem I
explicat I
que I
fan I
les I
garanties I
de I
proteccio I
unes I
garanties I
de I
proteccio I
que I
hem I
ficat I
l'exemple I
d'aqui I
a I
espanya I
que I
es I
el I
que I
tenim I
mes I
proper I
a I
traves I
d'un I
sistema I
sanitari I
que I
podria I
garantir I
oferint I
les I
millors I
condicions I
per I
legalitzar I
i I
posar I
en I
practica I
la I
gestacio I
subrogada I
pel I
que I
fa I
a I
l'interes I
superior I
del I
menor I
hem I
citat I
a I
la I
direccio I
general I
del I
registre I
del I
notariat I
i I
el I
tribunal I
suprem I
que I
en I
qualsevol I
cas I
per I
molt I
que I
hi I
hagin I
nascut I
el I
que I
no I
podem I
fer I
es I
negar I
la I
inscripcio I
al I
registre I
civil I
i I
la I
maternitat I
a I
tots I
aquells I
fills I
que I
neixin I
a I
l'estranger I
per I
molt I
que I
les I
practiques I
les I
puguem I
criticar I
i I
al I
final I
legalitzar I
una I
via I
mes I
de I
naixement I
ajudaria I
per I
exemple I
a I
les I
families I
al I
col*lectiu I
lgtbi I
com I
ja I
hem I
dit I
al I
principi I
perque I
puguin I
tindre I
una I
via I
mes I
i I
no I
nomes I
l'adopcio I
que I
es I
una I
de I
les I
uniques I
vies I
que I
vostes I
han I
defensat I
tambe I
hem I
explicat I
la I
relacio I
de I
la I
familia I
comitent I
amb I
els I
progenitors I
amb I
la I
dona I
gestant I
perdonin I
perque I
precisament I
garanteixin I
qualsevol I
mala I
practica I
o I
qualsevol I
abus I
o I
qualsevol I
corrupcio I
per I
part I
de I
les I
families I
que I
accedeixin I
en I
aquesta I
via I
i I
finalment I
els I
requisits I
d'idoneitat I
que I
han I
contestat I
absolutament I
a I
totes I
les I
seves I
preocupacions I
i I
al I
final I
el I
nostre I
model I
no I
hi I
ha I
cap I
inconvenient I
sobre I
els I
arguments I
que I
vostes I
han I
criticat I
i I
aixo I
es I
el I
que I
vostes I
no I
han I
sabut I
demostrar I
i I
mirin I
l'equip I
de I
la I
universitat I
rovira I
i I
virgili I
ha I
preferit I
tancar I
els I
ulls I
ha I
preferit I
tancar I
els I
ulls I
davant I
la I
situacio I
d'inestabilitat I
actual I
ha I
preferit I
tancar I
els I
ulls I
davant I
de I
totes I
les I
males I
practiques I
ha I
preferit I
tancar I
els I
ulls I
i I
deixar I
les I
caixes I
les I
caixes I
de I
pandora I
obertes I
que I
hi I
ha I
arreu I
del I
mon I
perque I
si I
legalitzessim I
aqui I
evitariem I
que I
gent I
d'espanya I
per I
exemple I
o I
altres I
paisos I
que I
dubtessim I
un I
model I
de I
l'estil I
del I
nostre I
haguessin I
de I
veure's I
forcats I
a I
anar I
a I
l'estranger I
a I
practicar I
males I
practiques I
per I
tant I
si I
a I
la I
legalitzacio I
la I
gestacio I
subrogada I
si I
a I
la I
nostra I
proposta I
de I
model I
raonable I
i I
eticament I
sostenible I
si I
al I
progres I
perque I
amb I
labor I
entre I
altres I
sempre I
s'ha I
ficat I
en I
questio I
al I
progres I
i I
si I
a I
la I
llibertat I
perque I
la I
caixa I
de I
pandora I
nosaltres I
amb I
aquest I
model I
la I
tanquem E
***conc O
against O
be B
bona I
tarda I
gracies I
per I
assistir I
el I
public I
al I
jurat I
i I
a I
l'equip I
contrincant I
moltes I
gracies I
per I
aquest I
debat I
tan I
intens I
que I
hem I
tingut I
en I
primer I
lloc I
volem I
recalcar I
que I
nosaltres I
no I
tanquem I
els I
ulls I
sino I
que I
els I
obrim I
i I
quan I
els I
obrim I
ens I
trobem I
en I
aixo I
es I
realment I
aixo I
el I
que I
volem I
veure I
en I
els I
nostres I
paisos I
es I
aixo I
el I
que I
volem I
veure I
al I
mon I
nosaltres I
no I
ho I
volem I
veure I
les I
dones I
sempre I
hem I
sigut I
de I
cara I
a I
la I
societat I
un I
simple I
recipient I
gestador I
i I
la I
lluita I
que I
nosaltres I
tenim I
per I
aconseguir I
que I
no I
siguem I
considerades I
nomes I
per I
aixo I
ja I
es I
prou I
llarga I
i I
dificil I
com I
perque I
a I
sobre I
es I
legalitzin I
tecniques I
com I
aquestes I
que I
el I
que I
fan I
es I
produir I
i I
encara I
que I
el I
que I
fan I
es I
mercantilitzar I
tant I
el I
cos I
de I
la I
dona I
com I
una I
vida I
humana I
aixi I
doncs I
la I
legalitzacio I
de I
la I
gestacio I
subrogada I
suposa I
una I
cosificacio I
de I
les I
dones I
quelcom I
totalment I
inadmissible I
es I
mes I
fins I
i I
tot I
alguns I
autors I
s'atreveixen I
a I
anomenar-ho I
com I
l'esclavitud I
moderna I
una I
situacio I
en I
la I
qual I
les I
persones I
tornen I
a I
ser I
propietat I
de I
terceres I
persones I
i I
es I
poden I
comprar I
i I
vendre I
sense I
cap I
tipus I
de I
consideracio I
etica I
o I
moral I
en I
l'article I
trenta I
vuit I
de I
la I
conferencia I
mundial I
de I
drets I
humans I
s'estableix I
la I
conferencia I
mundial I
dels I
drets I
humans I
subratlla I
en I
especial I
la I
importancia I
de I
la I
tasca I
destinada I
a I
eliminar I
la I
violencia I
contra I
la I
dona I
en I
la I
vida I
publica I
i I
privada I
eliminar I
totes I
les I
formes I
d'abus I
sexual I
i I
l'explotacio I
i I
el I
trafic I
de I
dones I
tots I
els I
delictes I
d'aquest I
tipus I
en I
particular I
assassinats I
les I
violacions I
sistematiques I
l'esclavitud I
sexual I
i I
els I
embarassos I
forcats I
requereixen I
una I
resposta I
eficac I
nosaltres I
considerem I
que I
legalitzant I
aquesta I
tecnica I
no I
estariem I
fent I
res I
mes I
que I
vulnerar I
l'article I
en I
questio I
de I
fet I
els I
meus I
companys I
ja I
ho I
han I
mencionat I
anteriorment I
no I
estem I
fent I
res I
mes I
que I
utilitzar I
una I
persona I
com I
un I
mitja I
kant I
deia I
actua I
de I
tal I
manera I
que I
utilitzis I
la I
humanitat I
tant I
en I
la I
teva I
persona I
com I
en I
la I
de I
qualsevol I
altre I
sempre I
com I
un I
fi I
i I
mai I
nomes I
com I
un I
mitja I
i I
per I
tant I
tractar I
les I
persones I
sempre I
com I
un I
fi I
i I
mai I
com I
un I
mitja I
que I
es I
el I
que I
estariem I
fent I
si I
legalitzessim I
la I
gestacio I
subrogada I
es I
ben I
clar I
que I
l'objectiu I
del I
fons I
del I
filosof I
kant I
al I
formular I
aquesta I
teoria I
era I
respectar I
la I
dignitat I
humana I
una I
dignitat I
humana I
que I
esta I
emparada I
per I
l'article I
deu I
de I
la I
nostra I
constitucio I
la I
nostra I
carta I
magna I
i I
que I
a I
mes I
aquesta I
dignitat I
es I
un I
principi I
inspirador I
del I
nostre I
i I
de I
qualsevol I
ordenament I
juridic I
nosaltres I
considerem I
que I
aquesta I
dignitat I
esta I
per I
sobre I
d'altres I
drets I
drets I
que I
tambe I
han I
sorgit I
al I
llarg I
del I
debat I
drets I
com I
el I
dret I
a I
la I
llibertat I
el I
dret I
a I
l'autodeterminacio I
i I
el I
dret I
a I
mantenir I
una I
familia I
nosaltres I
es I
ben I
clar I
que I
defensem I
la I
llibertat I
pero I
sempre I
sota I
la I
condicio I
humana I
de I
cada I
persona I
per I
acabar I
reiterar I
que I
ni I
les I
dones I
son I
maquines I
ni I
els I
nadons I
son I
quelcom I
en I
que I
es I
pugui I
signar I
un I
contracte I
els I
nens I
no I
es I
poden I
convertir I
en I
l'objecte I
d'un I
contracte I
perque I
aixo I
atempta I
contra I
els I
nostres I
drets I
perque I
atempta I
contra I
les I
nostres I
llibertats I
perque I
els I
diners I
no I
ho I
poden I
comprar I
tot I
no I
ens I
enganyem I
pero I
sobretot I
perque I
va I
en I
contra I
de I
la I
igualtat I
el I
dia I
que I
una I
dona I
d'occident I
i I
de I
classe I
alta I
es I
digni I
a I
gestar I
un I
nado I
en I
el I
seu I
ventre I
per I
una I
dona I
d'orient I
i I
de I
classe I
baixa I
aquell I
dia I
ens I
podrem I
plantejar I
que I
la I
gestacio I
subrogada I
no I
es I
una I
cosificacio I
de I
la I
dona I
i I
no I
es I
una I
forma I
d'explotacio I
el I
nostre I
cos I
es I
casa I
nostra I
moltes I
gracies E
